path,loc,reachability_class,decision_ids,disposition,rationale,implementation_status
docker-compose.yaml,964,GENERATED_OR_DATA,ACD-08;ACD-13;ACD-16,ALIGN_CANONICAL_DEPLOYMENT,删过渡 flag，保留真实服务与已实现拓扑,NOT_IMPLEMENTED
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py,618,BENCHMARK,ACD-12;ACD-13;ACD-15,KEEP_PURPOSED_ASSET,生产 UI/构建/验证/运维各按真实用途处理，不以 LOC 统一拆分,NOT_IMPLEMENTED
scripts/benchmarks/outbox/outbox_recovery_benchmark.py,697,BENCHMARK,ACD-12;ACD-13;ACD-15,KEEP_PURPOSED_ASSET,生产 UI/构建/验证/运维各按真实用途处理，不以 LOC 统一拆分,NOT_IMPLEMENTED
scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py,830,BENCHMARK,ACD-12;ACD-13;ACD-15,KEEP_PURPOSED_ASSET,生产 UI/构建/验证/运维各按真实用途处理，不以 LOC 统一拆分,NOT_IMPLEMENTED
scripts/observability-viewer.py,833,OPS_ADMIN,ACD-12;ACD-13;ACD-15,KEEP_PURPOSED_ASSET,生产 UI/构建/验证/运维各按真实用途处理，不以 LOC 统一拆分,NOT_IMPLEMENTED
scripts/session-viewer.py,642,OPS_ADMIN,ACD-12;ACD-13;ACD-15,KEEP_PURPOSED_ASSET,生产 UI/构建/验证/运维各按真实用途处理，不以 LOC 统一拆分,NOT_IMPLEMENTED
src/agent/strategies.py,944,EXPERIMENTAL_REJECTED,ACD-03;ACD-10,DELETE_NON_TARGET_AFTER_G05,实验策略非产品目标；先救正式合同再删除,NOT_IMPLEMENTED
src/agent_activities/runtime.py,1499,PROD_CONDITIONAL,ACD-12;ACD-17,SPLIT_PREPARE_AND_INVOKE,所有主模型 phase 统一冻结/调用边界,NOT_IMPLEMENTED
src/agent_execution/brain_action_loop.py,705,PROD_CONDITIONAL,ACD-01;ACD-09,RETIRE_AFTER_QQ_CANONICAL,双入口目标成立后删除旧 loop,NOT_IMPLEMENTED
src/channels/official_qq.py,905,PROD_CONDITIONAL,ACD-01;ACD-08,REVIEW_ON_TARGET_CHANGE,保留真实能力，按目标切口处理，LOC 不决定拆分或删除,NOT_IMPLEMENTED
src/memory/hindsight_client.py,662,PROD_CONDITIONAL,ACD-04,REVIEW_ON_TARGET_CHANGE,保留真实能力，按目标切口处理，LOC 不决定拆分或删除,NOT_IMPLEMENTED
src/orchestration/config.py,810,PROD_CONDITIONAL,ACD-08,REMOVE_MIGRATION_CONFIG,目标删除编排开关/非目标实验配置，校验真实能力,NOT_IMPLEMENTED
src/orchestration/worker.py,1370,PROD_CONDITIONAL,ACD-02;ACD-09,COMPOSE_CANONICAL_AFTER_RETIREMENT,先统一删旧，再整理构造与生命周期,NOT_IMPLEMENTED
src/research_activities/runtime.py,807,PROD_CONDITIONAL,ACD-06;ACD-07,REVIEW_ON_TARGET_CHANGE,保留真实能力，按目标切口处理，LOC 不决定拆分或删除,NOT_IMPLEMENTED
src/resources/model_client.py,673,PROD_CONDITIONAL,ACD-17,FREEZE_EFFECTIVE_PAYLOAD,最终转换/defaults 在批准前完成,NOT_IMPLEMENTED
src/sandbox/tools/adapters/mcp.py,1545,PROD_CONDITIONAL,ACD-11;ACD-17,SPLIT_TRANSPORT_AND_FREEZE_SCHEMA,以实际协议和快照合同验证,NOT_IMPLEMENTED
src/session/store.py,736,PROD_CONDITIONAL,ACD-04;ACD-09,RETIRE_QQ_AUTHORITY,会话 PG 化及必要记忆重接后删除,NOT_IMPLEMENTED
src/web_api/app.py,1148,PROD_DIRECT,ACD-04;ACD-15;ACD-18,KEEP_SURFACE_ADD_QUERY_BOUNDARIES,领域移出，review/workspace 提供正式查询,NOT_IMPLEMENTED
src/web_domain/services.py,627,PROD_CONDITIONAL,ACD-04,PROMOTE_CONVERSATION_DOMAIN,事务成为双 surface 核心，非 Web 专属,NOT_IMPLEMENTED
test/test_durable_agent_hardening.py,690,TEST_ONLY,ACD-09;ACD-12,RETAIN_BEHAVIOR_REPLACE_OLD_CONTRACTS,必要回归迁到目标；仅旧合同断言可随实现删除,NOT_IMPLEMENTED
test/test_web_temporal_contract.py,1515,TEST_ONLY,ACD-09;ACD-12,RETAIN_BEHAVIOR_REPLACE_OLD_CONTRACTS,必要回归迁到目标；仅旧合同断言可随实现删除,NOT_IMPLEMENTED
test/web_api/test_sse_gateway.py,798,TEST_ONLY,ACD-09;ACD-12,RETAIN_BEHAVIOR_REPLACE_OLD_CONTRACTS,必要回归迁到目标；仅旧合同断言可随实现删除,NOT_IMPLEMENTED
web/package-lock.json,7425,GENERATED_OR_DATA,ACD-12;ACD-13;ACD-15,KEEP_PURPOSED_ASSET,生产 UI/构建/验证/运维各按真实用途处理，不以 LOC 统一拆分,NOT_IMPLEMENTED
web/src/store/workbench.test.ts,850,TEST_ONLY,ACD-09;ACD-12,RETAIN_BEHAVIOR_REPLACE_OLD_CONTRACTS,必要回归迁到目标；仅旧合同断言可随实现删除,NOT_IMPLEMENTED
web/src/store/workbench.ts,794,PROD_CONDITIONAL,ACD-12;ACD-13;ACD-15,KEEP_PURPOSED_ASSET,生产 UI/构建/验证/运维各按真实用途处理，不以 LOC 统一拆分,NOT_IMPLEMENTED
web/src/styles.css,783,GENERATED_OR_DATA,ACD-12;ACD-13;ACD-15,KEEP_PURPOSED_ASSET,生产 UI/构建/验证/运维各按真实用途处理，不以 LOC 统一拆分,NOT_IMPLEMENTED
